ID,MP,Constituency
305,Golam Kibria Tipu,Barisal-3
306,Ahasanul Islam Titu,Tangail-6
307,Kujendra Lal Tripura,Khagrachhari
308,Md. Shamsul Haque Tuku,Pabna-1
309,Md. Ayeen Uddin,Rajshahi-3
310,Md. Muslem Uddin,Mymensingh-6
311,Md. Shahab Uddin,Maulvibazar-1
312,Nasir Uddin,Jessore-2
313,Sheikh Helal Uddin,Bagerhat-1
314,Sk. Afil Uddin,Jessore-1
315,Ashim Kumar Ukil,Netrokona-3
316,Sagufta Yasmin,Munshiganj-2
317,Md. Abu Zahir,Habiganj-3
318,Aroma Dutta,Reserved women's seat-11
319,Rumeen Farhana,Reserved women's seat-50
320,Aparajita Haque,Reserved women's seat-20
321,Khodeza Nasreen Akhter Hossain,Reserved women's seat-40
322,Shabnam Jahan,Reserved women's seat-3
323,Suborna Mustafa,Reserved women's seat-4
324,Shamsun Nahar,Reserved women's seat-13
325,Sultana Nadira,Reserved women's seat-15
326,Fazilatun Nessa Indira,Reserved women's seat-22
327,Ferdosi Islam,Reserved women's seat-38
328,Selina Islam,Reserved women's seat-49
329,Salma Islam,Reserved women's seat-44
330,Kh. Momota Hena Lovely,Reserved women's seat-31
331,Adiba Anjum Mita,Reserved women's seat-37
332,Nadira Yeasmin Jolly,Reserved women's seat-42
333,Habiba Rahman Khan,Reserved women's seat-17
334,Naheed Ezaher Khan,Reserved women's seat-5
335,Lutfun Nesa Khan,Reserved women's seat-48
336,Waseqa Ayesha Khan,Reserved women's seat-7
337,Zakia Parvin Khanam,Reserved women's seat-18
338,Farida Khanam,Reserved women's seat-33
339,Mst. Khaleda Khanum,Reserved women's seat-27
340,Shamima Akter Khanam,Reserved women's seat-21
341,Rowshan Ara Mannan,Reserved women's seat-47
342,Zakia Tabassum,Reserved women's seat-32
343,Sheikh Anne Rahman,Reserved women's seat-19
344,Nargis Rahman,Reserved women's seat-25
345,Gloria Jharna Sarker,Reserved women's seat-30
346,Parveen Haque Sikder,Reserved women's seat-39
347,Monira Sultana,Reserved women's seat-26
348,Anjum Sultana,Reserved women's seat-10
349,Kazi Kaniz Sultana,Reserved women's seat-29
